project,rm,ed,category
testng,58.064516129,0.3880821232,Non-web libraries and frameworks
effectivejava,57.5,0.761324705,Software tools
rest.li,57.4468085106,0.2657920036,Non-web libraries and frameworks
BoofCV,57.1428571429,0.02736192,Non-web libraries and frameworks
elasticsearch,56.880733945,0.2066507413,Software tools
sonarqube,56.204379562,1.2427712893,Application
lenskit,55.7692307692,0.8280254777,Application
ccnx,55.5555555556,0.626813697,Non-web libraries and frameworks
modeshape,54.5454545455,0.0937633187,System Software
zeno,54.5454545455,0.9532062392,Non-web libraries and frameworks
geppetto,54.5454545455,0.0605526808,Software tools
OpenAtlas,54.5454545455,0.6650544135,System Software
ofbiz,54.0983606557,0.8036890646,Web libraries and frameworks
camel,54.0856031128,0.4997909435,Non-web libraries and frameworks
kite,53.8461538462,0.1504803797,Non-web libraries and frameworks
log4j,52.7472527473,2.1620337372,Non-web libraries and frameworks
itextpdf,52.2222222222,0.6026516673,Non-web libraries and frameworks
struts,51.8518518519,0.1339285714,Web libraries and frameworks
activemq,51.6129032258,0.0636929588,Application
griffon,51.5151515152,0.3845257516,Non-web libraries and frameworks
bonecp,51.3513513514,1.5920826162,Non-web libraries and frameworks
jena,50.4807692308,0.3275796901,Non-web libraries and frameworks
jbehave-core,50,0.58403634,Non-web libraries and frameworks
Pydev,50,0.0480923373,Application
mixpanel-android,50,0.6839276991,Non-web libraries and frameworks
Lealone,50,0.0946820262,Application
config,50,0.482509047,Non-web libraries and frameworks
twilio-java,50,0.2509410289,Non-web libraries and frameworks
thucydides,50,0.0580326917,Software tools
orbit,50,0.16273393,Non-web libraries and frameworks
HugeCollections,50,0.1454545455,Non-web libraries and frameworks
errai,50,0.0165755014,Web libraries and frameworks
idea-php-laravel-plugin,50,0.4319654428,Web libraries and frameworks
signpost,50,0.4201680672,Non-web libraries and frameworks
datacube,50,0.2805049088,System Software
hbc,50,0.2380952381,Non-web libraries and frameworks
stream-lib,50,0.2212389381,Non-web libraries and frameworks
android-maps-utils,50,0.1765225066,Non-web libraries and frameworks
wigle-wifi-wardriving,50,0.1757469244,Application
platform_packages_apps_contacts,50,0.0714540907,Non-web libraries and frameworks
brut.apktool,50,0.054200542,Application
nodeclipse-1,50,0.0112454315,Application
GeoIP2-java,50,0.7518796992,Non-web libraries and frameworks
analytics-android,50,0.1094091904,Non-web libraries and frameworks
nginx-clojure,50,0.0398089172,Non-web libraries and frameworks
Kylin,50,0.0262708525,Software tools
incubator-kylin,50,0.0249532127,Software tools
BroadleafCommerce,49.2204899777,1.7275875337,Non-web libraries and frameworks
avro,49.1803278689,0.7506768398,Software tools
isis,48.3050847458,1.1644832606,Non-web libraries and frameworks
zanata-server,47.619047619,0.1327014218,Application
flume-release,47.0588235294,0.4110251451,Software tools
hydra,47.0588235294,0.182894029,Software tools
java-object-diff,46.6666666667,1.1261261261,Non-web libraries and frameworks
mct,46.6666666667,0.1022285831,Application
hibernate-search,46.4285714286,0.2148062908,Software tools
denominator,46.1538461538,0.4314636575,Software tools
jackson-databind,45.652173913,1.2694908238,Non-web libraries and frameworks
DataflowJavaSDK,45.4545454545,0.0940653326,Software tools
HotswapAgent,45.4545454545,0.1655130906,Software tools
mule,44.8275862069,0.8596038499,Application
FML,44.8275862069,0.9602649007,Application
autopsy,44.7368421053,0.3963700845,Application
marytts,44.6808510638,0.3202507495,Non-web libraries and frameworks
mockito,44,0.4163197336,Non-web libraries and frameworks
aws-sdk-android,43.8679245283,0.7140691839,Non-web libraries and frameworks
DSpace,43.6781609195,0.5075549851,System Software
android-database-sqlcipher,42.8571428571,4.7748976808,Non-web libraries and frameworks
gerrit-trigger-plugin,42.8571428571,0.657585721,Application
poi,42.8251121076,1.0753465943,Application
owlapi,42.7536231884,0.6339289816,Non-web libraries and frameworks
fred,42.6470588235,0.3154427796,Application
spring-webflow,42.1052631579,0.253063399,Software tools
lucene-solr,41.8803418803,0.1536622844,Non-web libraries and frameworks
platform_packages_apps_email,40.4761904762,0.8663366337,Non-web libraries and frameworks
