project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
android-maven-plugin;git://github.com/simpligility/android-maven-plugin.git;878;86;200;366;36998;87;1480;5;2687;308.850.574.713;2489;7.4;28.31;724;5662;3;3;877;3;3;4061;0;0;5662;6;6;100;0.105969622;382.5;153.803.333.333.333;78.57;17855;2687;37.092.516.666.667;Software tools
logback;git://github.com/qos-ch/logback.git;518;76;76;368;38736;54;1743;33;3312;613.333.333.333;3422;229.342.105.263;1.218.421.052.632;2045;9260;0;0;1173;0;0;6042;6;6;9260;6;6;100;0.0647948164;259.5;33.426.666.666.667;735.921.052.632;723.881.578.947;3312;14.120.293.859.649;Non-web libraries and frameworks
GLWallpaperService;git://github.com/markfguerra/GLWallpaperService.git;170;24;6;84;717;8;51;6;835;104375;132;8.5;263.333.333.333;18;158;0;0;28;5;5;112;0;0;158;5;5;100;3.164.556.962;71;167.063.333.333.333;136.111.111.111;174.166.666.667;835;35.286.722.222.222;Non-web libraries and frameworks
CLAVIN;git://github.com/Berico-Technologies/CLAVIN.git;147;42;12;54;49864;11;97;12;935;85;219;80.833.333.333;353.333.333.333;37;424;0;0;55;2;2;332;3;3;424;5;5;100;1.179.245.283;63.75;22.643.333.333.333;184.722.222.222;217.083.333.333;935;6.606.527.777.778;Non-web libraries and frameworks
Yaaic;git://github.com/pocmo/Yaaic.git;203;22;19;91;6101;13;268;3;2275;175;1023;141.052.631.579;611.052.631.579;260;1161;0;0;112;0;0;789;5;5;1161;5;5;100;0.4306632214;83.75;31.373.333.333.333;314.035.087.719;376.052.631.579;2275;11.130.184.210.526;Application
feign;git://github.com/Netflix/feign.git;530;190;28;106;8109;52;142;14;1236;237.692.307.692;353;50.714.285.714;449.285.714.286;102;1258;0;0;237;0;0;919;5;5;1258;5;5;100;0.3974562798;213.5;125.713.333.333.333;26;25;1236;28.143.666.666.667;Web libraries and frameworks
NotePad;git://github.com/spacecowboy/NotePad.git;287;26;15;120;35583;88;873;11;1249;141.931.818.182;1340;58.2;2.380.666.666.667;1003;3571;0;0;284;0;0;2284;5;5;3571;5;5;100;0.140016802;112;15.213.333.333.333;1.037.555.555.556;1.481.333.333.333;1249;6.268.444.444.444;Application
xssValidator;git://github.com/nVisium/xssValidator.git;105;39;4;25;860;6;133;7;407;678.333.333.333;87;33.25;93;90;372;0;0;40;1;1;242;3;3;372;4;4;100;10.752.688.172;43.25;12677;434.166.666.667;63125;407;26.467.583.333.333;Application
photup;git://github.com/chrisbanes/photup.git;739;70;1;271;37229;33;430;2;379;114.848.484.848;572;430;1105;147;1105;1;1;126;0;0;832;3;3;1105;4;4;100;0.3619909502;270.25;139.783.333.333.333;512;767.5;379;31.814.166.666.667;Application
red5-server;git://github.com/Red5/red5-server.git;316;75;9;142;40545;5;285;2;634;126.8;187;316.666.666.667;1.468.888.888.889;143;1322;0;0;152;0;0;1027;4;4;1322;4;4;100;0.3025718608;135.5;7548;625.185.185.185;892.777.777.778;634;16.938.592.592.593;System Software
selendroid;git://github.com/selendroid/selendroid.git;387;115;44;253;20763;18;559;5;931;517.222.222.222;1196;127.045.454.545;783.863.636.364;411;3449;0;0;437;4;4;2601;0;0;3449;4;4;100;0.1159756451;199.75;108.236.666.666.667;450.303.030.303;455.454.545.455;931;24.089.984.848.485;Non-web libraries and frameworks
jbox2d;git://github.com/jbox2d/jbox2d.git;213;50;11;80;28745;16;277;5;2793;1.745.625;721;251.818.181.818;4.403.636.363.636;1140;4844;0;0;312;0;0;3392;4;4;4844;4;4;100;0.0825763832;88.5;4704;1.588.484.848.485;2.327.727.272.727;2793;15.954.242.424.243;Non-web libraries and frameworks
caffeine;git://github.com/ben-manes/caffeine.git;255;31;6;11;8917;6;351;3;248;413.333.333.333;614;58.5;8.891.666.666.667;852;5335;0;0;492;0;0;3991;4;4;5335;4;4;100;0.0749765698;75.75;3160;3.178.888.888.889;4.738.333.333.333;248;8.550.944.444.444;Non-web libraries and frameworks
functionaljava;git://github.com/functionaljava/functionaljava.git;512;63;29;88;3792;8;353;10;1756;219.5;597;121.724.137.931;235.724.137.931;515;6836;0;0;320;0;0;6001;4;4;6836;4;4;100;0.0585137507;173;18916;922.988.505.747;1.239.482.758.621;1756;42.122.494.252.874;Non-web libraries and frameworks
spring-security;git://github.com/spring-projects/spring-security.git;784;196;65;1074;47656;67;2256;23;4174;622.985.074.627;5461;347.076.923.077;1.685.846.153.846;597;10958;0;0;1717;3;3;8644;1;1;10958;4;4;100;0.0365030115;529.75;147347;894.307.692.308;1.016.461.538.462;4174;304.483.653.846.154;Non-web libraries and frameworks
Jnario;git://github.com/sebastianbenz/Jnario.git;121;19;8;34;429269;20;1814;13;1161;58.05;1301;226.75;4936.75;20378;39494;0;0;1334;0;0;17782;4;4;39494;4;4;100;0.0101281207;45.5;140.163.333.333.333;17.238.333.333.333;2581.75;1161;39.056.833.333.333;Non-web libraries and frameworks
ErrorView;git://github.com/xiprox/ErrorView.git;384;17;2;62;2508;4;47;2;170;42.5;47;23.5;50.5;27;101;0;0;6;0;0;68;3;3;101;3;3;100;29.702.970.297;116.25;6.616.666.666.667;253.333.333.333;37;170;202.05;Non-web libraries and frameworks
tape;git://github.com/square/tape.git;1125;115;18;170;1816;7;68;10;1726;2.465.714.285.714;165;37.777.777.778;136.111.111.111;23;245;0;0;33;1;1;189;2;2;245;3;3;100;12.244.897.959;357;9.243.333.333.333;117.962.962.963;86.944.444.444;1726;6.055.648.148.148;Non-web libraries and frameworks
java-apns;git://github.com/notnoop/java-apns.git;1057;183;26;428;2442;18;86;4;1964;1.091.111.111.111;451;33.076.923.077;305.384.615.385;77;794;0;0;89;1;1;628;2;2;794;3;3;100;0.3778337531;423.5;21.943.333.333.333;199.487.179.487;169.230.769.231;1964;923.741.025.641;Web libraries and frameworks
karyon;git://github.com/Netflix/karyon.git;228;213;20;108;5571;62;218;9;1250;201.612.903.226;516;10.9;58.95;96;1179;1;1;209;1;1;874;1;1;1179;3;3;100;0.2544529262;142.25;20.556.666.666.667;29.95;34925;1250;7.025.583.333.333;Non-web libraries and frameworks
asynchbase;git://github.com/OpenTSDB/asynchbase.git;350;58;14;183;4852;10;136;3;1709;170.9;334;97.142.857.143;846.428.571.429;82;1185;0;0;134;0;0;969;3;3;1185;3;3;100;0.253164557;151.25;175.963.333.333.333;36.119.047.619;471.785.714.286;1709;39.079.761.904.762;Non-web libraries and frameworks
parboiled;git://github.com/sirthias/parboiled.git;797;69;10;86;51294;39;310;3;1953;500.769.230.769;636;31;275.8;222;2758;0;0;321;0;0;2215;3;3;2758;3;3;100;0.1087744743;240.5;7825;105.6;153.4;1953;2055.5;Software tools
spock;git://github.com/spockframework/spock.git;731;89;23;145;19919;19;798;11;3083;1.622.631.578.947;2105;346.956.521.739;137.347.826.087;204;3159;0;0;401;0;0;2554;3;3;3159;3;3;100;0.0949667616;247;20.673.333.333.333;650.144.927.536;860.217.391.304;3083;11.096.739.130.435;Non-web libraries and frameworks
Android-Next;git://github.com/mcxiaoke/Android-Next.git;226;21;2;67;2694;18;349;7;676;375.555.555.556;356;174.5;1763;427;3526;0;0;267;0;0;2832;3;3;3526;3;3;100;0.0850822462;79;84.626.666.666.667;646.5;968.75;676;21.665.833.333.333;Non-web libraries and frameworks
jolokia;git://github.com/rhuss/jolokia.git;265;43;18;78;21123;26;739;13;1822;700.769.230.769;1294;410.555.555.556;2.086.111.111.111;102;3755;0;0;488;0;0;3165;3;3;3755;3;3;100;0.0798934754;101;3512;892.222.222.222;1.248.333.333.333;1822;11.298.111.111.111;Web libraries and frameworks
httl;git://github.com/httl/httl.git;174;62;6;101;6206;13;575;4;976;750.769.230.769;670;958.333.333.333;658.5;170;3951;0;0;330;3;3;3451;0;0;3951;3;3;100;0.0759301443;85.75;62.403.333.333.333;2.534.444.444.444;3.771.666.666.667;976;15.865.388.888.889;Software tools
twitter4j;git://github.com/yusuke/twitter4j.git;1580;189;200;736;14082;40;688;8;2982;74.55;2060;3.44;26.12;194;5224;0;0;414;1;1;4616;2;2;5224;3;3;100;0.0574272588;676.25;113217;76.52;14.78;2982;23393.31;Non-web libraries and frameworks
carrot2;git://github.com/carrot2/carrot2.git;204;32;3;89;332478;41;1949;14;4413;1.076.341.463.415;4615;6.496.666.666.667;19.993.333.333.333;1060;5998;1;1;820;1;1;4118;1;1;5998;3;3;100;0.0500166722;82;121.087.666.666.667;884;1324.5;4413;255.582.333.333.333;Application
fabric8;git://github.com/fabric8io/fabric8.git;373;90;77;249;355442;145;1823;21;1590;109.655.172.414;11547;236.753.246.753;1.152.337.662.338;963;8873;0;0;958;0;0;6952;3;3;8873;3;3;100;0.0338104362;197.25;808.616.666.666.667;719.696.969.697;694.545.454.545;1590;165.580.681.818.182;Application
FBReaderJ;git://github.com/geometer/FBReaderJ.git;900;113;31;579;231290;391;2422;46;2874;73.503.836.317;8795;781.290.322.581;3.282.258.064.516;1577;10175;0;0;1078;0;0;7520;3;3;10175;3;3;100;0.0294840295;405.75;43.096.666.666.667;1.457.849.462.366;2.031.774.193.548;2874;15.876.758.064.516;Application
telescope;git://github.com/mattprecious/telescope.git;501;25;6;41;2691;5;63;2;281;56.2;49;10.5;20;8;120;0;0;17;0;0;95;2;2;120;2;2;100;16.666.666.667;143.25;4.356.666.666.667;121.666.666.667;15.25;281;1.774.666.666.667;Application
play-pac4j;git://github.com/pac4j/play-pac4j.git;157;27;11;37;1163;15;24;7;1011;67.4;178;21.818.181.818;117.272.727.273;4;129;0;0;13;2;2;112;0;0;129;2;2;100;15.503.875.969;58;1582;8.303.030.303;69.545.454.545;1011;5.332.515.151.515;Web libraries and frameworks
WizarDroid;git://github.com/Nimrodda/WizarDroid.git;130;16;6;46;4560;7;57;4;923;1.318.571.428.571;134;9.5;258.333.333.333;5;155;0;0;26;0;0;124;2;2;155;2;2;100;12.903.225.806;49.5;399;137.777.777.778;176.666.666.667;923;2.805.888.888.889;Non-web libraries and frameworks
spring-elasticsearch;git://github.com/dadoonet/spring-elasticsearch.git;154;31;7;61;902;10;140;6;1141;114.1;130;20;267.142.857.143;28;187;0;0;39;0;0;120;2;2;187;2;2;100;10.695.187.166;63.25;271;179.047.619.048;233.571.428.571;1141;3.033.023.809.524;Non-web libraries and frameworks
hibernate-memcached;git://github.com/raykrueger/hibernate-memcached.git;106;24;6;83;581;6;45;4;2566;4.276.666.666.667;142;7.5;456.666.666.667;58;274;0;0;25;2;2;191;0;0;274;2;2;100;0.7299270073;54.75;970;197.222.222.222;265.833.333.333;2566;7.274.111.111.111;Non-web libraries and frameworks
restcountries;git://github.com/fayder/restcountries.git;327;17;5;28;2588;13;48;3;550;423.076.923.077;492;9.6;55;6;275;0;0;21;0;0;248;2;2;275;2;2;100;0.7272727273;94.25;9.183.333.333.333;23.2;32.3;550;3.236.166.666.667;Non-web libraries and frameworks
snappy;git://github.com/dain/snappy.git;234;25;8;41;2429;3;51;3;1398;466;59;6375;42125;30;337;0;0;31;2;2;276;0;0;337;2;2;100;0.5934718101;77;15.383.333.333.333;188.333.333.333;24.25;1398;6.112.833.333.333;Non-web libraries and frameworks
changeloglib;git://github.com/gabrielemariotti/changeloglib.git;635;39;5;98;4124;8;154;3;664;83;89;30.8;95.2;122;476;0;0;54;0;0;300;2;2;476;2;2;100;0.4201680672;194.25;6.666.666.666.667;436.666.666.667;63;664;3.263.166.666.667;Non-web libraries and frameworks
obd-java-api;git://github.com/pires/obd-java-api.git;100;23;12;70;1436;17;88;2;682;401.176.470.588;143;73.333.333.333;408.333.333.333;12;490;0;0;79;0;0;399;2;2;490;2;2;100;0.4081632653;51.25;2528;200.555.555.556;240.833.333.333;682;6.610.777.777.778;Non-web libraries and frameworks
spring;git://github.com/mybatis/spring.git;281;105;12;290;6917;12;177;5;1813;1.510.833.333.333;863;14.75;418.333.333.333;9;502;0;0;90;0;0;403;2;2;502;2;2;100;0.3984063745;172;5.433.333.333.333;228.611.111.111;282.916.666.667;1813;5.158.972.222.222;Non-web libraries and frameworks
fixture-factory;git://github.com/six2six/fixture-factory.git;104;38;15;42;1006;4;122;2;1565;391.25;254;81.333.333.333;449.333.333.333;7;674;0;0;123;0;0;544;2;2;674;2;2;100;0.296735905;49.75;7.156.666.666.667;226.888.888.889;265.333.333.333;1565;4.759.277.777.778;Software tools
java-api-wrapper;git://github.com/soundcloud/java-api-wrapper.git;144;135;7;88;1422;9;51;7;1063;1.181.111.111.111;295;72.857.142.857;1.017.142.857.143;180;712;0;0;57;0;0;475;2;2;712;2;2;100;0.2808988764;93.5;43.296.666.666.667;386.666.666.667;54.5;1063;11.158.666.666.667;Non-web libraries and frameworks
elasticsearch-jdbc;git://github.com/jprante/elasticsearch-jdbc.git;958;105;29;293;12031;69;246;14;1149;16.652.173.913;366;84.827.586.207;390.344.827.586;115;1132;0;0;89;0;0;928;2;2;1132;2;2;100;0.1766784452;346.25;154.683.333.333.333;255.057.471.264;237.586.206.897;1149;34.025.695.402.299;Non-web libraries and frameworks
simpletask-android;git://github.com/mpcjanssen/simpletask-android.git;124;28;13;49;44919;190;354;18;890;46.842.105.263;1609;272.307.692.308;998.461.538.462;162;1298;0;0;123;0;0;1013;2;2;1298;2;2;100;0.1540832049;53.5;10.766.666.666.667;466.923.076.923;635.384.615.385;890;4.260.794.871.795;Application
spring-data-document-examples;git://github.com/spring-projects/spring-data-document-examples.git;135;64;4;100;1585;4;347;2;330;82.5;45;86.75;345.5;119;1382;0;0;142;0;0;1121;2;2;1382;2;2;100;0.1447178003;75.75;157.116.666.666.667;1.454.166.666.667;216125;330;32.957.916.666.667;Application
hppc;git://github.com/carrotsearch/hppc.git;171;29;1;34;45606;19;147;10;1903;1.001.578.947.368;468;147;1406;147;1406;0;0;145;0;0;1114;2;2;1406;2;2;100;0.1422475107;58.75;15.466.666.666.667;518;776.5;1903;9.605.833.333.333;Non-web libraries and frameworks
cloudhopper-smpp;git://github.com/twitter/cloudhopper-smpp.git;292;220;13;149;3069;17;165;5;1584;931.764.705.882;135;126.923.076.923;1.454.615.384.615;335;1891;1;1;170;0;0;1386;1;1;1891;2;2;100;0.105764146;168.5;3249;570.512.820.513;790.769.230.769;1584;10.275.256.410.256;Non-web libraries and frameworks
memcached-session-manager;git://github.com/magro/memcached-session-manager.git;279;52;14;152;7649;27;207;20;2318;858.518.518.519;534;147.857.142.857;1.678.571.428.571;150;2350;0;0;249;0;0;1951;2;2;2350;2;2;100;0.085106383;124.25;810.573.333.333.333;655.476.190.476;913.214.285.714;2318;167.312.904.761.905;Software tools
java;git://github.com/pubnub/java.git;140;81;8;290;240424;13;398;44;910;70;562;49.75;294875;289;2359;0;0;184;0;0;1886;2;2;2359;2;2;100;0.0847816872;129.75;17519;1.175.416.666.667;1.723.125;910;37.697.208.333.333;Non-web libraries and frameworks
android-bankdroid;git://github.com/liato/android-bankdroid.git;231;33;37;155;49613;41;585;7;1916;467.317.073.171;1124;158.108.108.108;643.513.513.514;321;2381;0;0;261;0;0;1799;2;2;2381;2;2;100;0.08399832;114;508.186.666.666.667;390.540.540.541;400.810.810.811;1916;105.855.603.603.604;Application
mapbox-android-sdk;git://github.com/mapbox/mapbox-android-sdk.git;433;154;48;175;148472;12;1603;22;640;533.333.333.333;2005;333.958.333.333;533.125;274;2559;0;0;232;1;1;2053;1;1;2559;2;2;100;0.0781555295;202.5;41.476.666.666.667;449.027.777.778;433.541.666.667;640;10.156.847.222.222;System Software
java-memcached-client;git://github.com/dustin/java-memcached-client.git;394;63;29;247;9572;93;312;7;2647;284.623.655.914;961;107.586.206.897;975.172.413.793;216;2828;0;0;289;0;0;2323;2;2;2828;2;2;100;0.0707213579;183.25;38.333.333.333.333;457.586.206.897;541.379.310.345;2647;13.526.959.770.115;Non-web libraries and frameworks
swift;git://github.com/facebook/swift.git;399;95;20;156;8267;38;405;7;1183;311.315.789.474;496;20.25;159.75;264;3195;0;0;423;0;0;2508;2;2;3195;2;2;100;0.0625978091;167.5;241.533.333.333.333;666.666.666.667;90;1183;5132.1;Non-web libraries and frameworks
ChatSecureAndroid;git://github.com/guardianproject/ChatSecureAndroid.git;837;145;31;461;68011;112;1254;10;1949;174.017.857.143;2868;404.516.129.032;154.935.483.871;1271;4803;0;0;370;0;0;3162;2;2;4803;2;2;100;0.0416406413;368.5;67.556.666.666.667;754.623.655.914;976.935.483.871;1949;1.849.264.516.129;Application
todo.txt-android;git://github.com/ginatrapani/todo.txt-android.git;947;88;26;415;14237;17;1227;3;1377;81;460;471.923.076.923;1.890.769.230.769;450;4916;0;0;442;0;0;4024;2;2;4916;2;2;100;0.0406834825;369;103.473.333.333.333;874.230.769.231;1.181.346.153.846;1377;24.597.782.051.282;Application
live-chat-engine;git://github.com/edolganov/live-chat-engine.git;156;24;3;25;25076;4;1050;2;122;30.5;22;350;18.223.333.333.333;1046;5467;0;0;769;0;0;3652;2;2;5467;2;2;100;0.0365831352;52;40.213.333.333.333;7.251.111.111.111;10.861.666.666.667;122;12.013.222.222.222;Application
facebook4j;git://github.com/roundrop/facebook4j.git;151;30;9;73;5971;26;626;3;1045;401.923.076.923;514;695.555.555.556;6.327.777.777.778;107;5695;0;0;634;0;0;4954;2;2;5695;2;2;100;0.035118525;65.75;27.023.333.333.333;2.371.111.111.111;3.511.666.666.667;1045;8.802.722.222.222;Non-web libraries and frameworks
android-sqlite-asset-helper;git://github.com/jgilfelt/android-sqlite-asset-helper.git;1234;108;4;314;2361;4;51;4;1093;273.25;69;12.75;11.75;0;47;0;0;10;0;0;37;1;1;47;1;1;100;21.276.595.745;415;5.123.333.333.333;9.5;12.25;1093;4.084.166.666.667;Software tools
audio-wife;git://github.com/jaydeepw/audio-wife.git;125;12;1;39;1413;4;77;4;184;46;81;77;63;1;63;0;0;6;0;0;56;1;1;63;1;1;100;15.873.015.873;44.25;2.506.666.666.667;47;70;184;1.191.833.333.333;Non-web libraries and frameworks
GoogleAuth;git://github.com/wstrange/GoogleAuth.git;129;28;3;57;664;9;25;3;1228;1.364.444.444.444;139;83.333.333.333;26;4;78;0;0;12;0;0;62;1;1;78;1;1;100;12.820.512.821;54.25;1344;124.444.444.444;171.666.666.667;1228;5.311.722.222.222;Non-web libraries and frameworks
MaterialSpinner;git://github.com/ganfra/MaterialSpinner.git;295;15;2;54;3917;4;37;2;42;10.5;30;18.5;41.5;6;83;0;0;5;0;0;72;1;1;83;1;1;100;12.048.192.771;91.5;8.766.666.666.667;206.666.666.667;30;42;2.121.666.666.667;Application
thymeleaf-layout-dialect;git://github.com/ultraq/thymeleaf-layout-dialect.git;167;28;5;21;2480;22;67;5;1123;510.454.545.455;218;13.4;19.6;16;98;0;0;17;1;1;65;0;0;98;1;1;100;10.204.081.633;55.25;2.413.333.333.333;126.666.666.667;16.5;1123;289.75;Web libraries and frameworks
jenkins-gitlab-merge-request-builder-plugin;git://github.com/timols/jenkins-gitlab-merge-request-builder-plugin.git;190;22;21;77;602;9;24;2;823;914.444.444.444;123;11.428.571.429;57.142.857.143;1;120;0;0;11;0;0;108;1;1;120;1;1;100;0.8333333333;77.5;4.863.333.333.333;92.857.142.857;34.285.714.286;823;2.799.095.238.095;Application
Android-BitmapCache;git://github.com/chrisbanes/Android-BitmapCache.git;763;69;2;226;1302;8;37;3;398;49.75;142;18.5;86.5;23;173;0;0;28;0;0;122;1;1;173;1;1;100;0.5780346821;265;4.263.333.333.333;356.666.666.667;52.5;398;235.5;Non-web libraries and frameworks
guava-retrying;git://github.com/rholder/guava-retrying.git;168;22;7;30;1078;9;28;4;1039;1.154.444.444.444;102;4;318.571.428.571;6;223;0;0;38;0;0;179;1;1;223;1;1;100;0.4484304933;56.75;10.483.333.333.333;142.857.142.857;179.285.714.286;1039;4.352.595.238.095;Non-web libraries and frameworks
multi-thread-context;git://github.com/alibaba/multi-thread-context.git;139;40;2;76;2870;13;52;4;618;475.384.615.385;247;26;113.5;32;227;0;0;31;1;1;164;0;0;227;1;1;100;0.4405286344;64.25;696;471.666.666.667;69.75;618;2.990.333.333.333;Non-web libraries and frameworks
material-menu;git://github.com/balysv/material-menu.git;1590;96;4;374;1775;18;86;2;324;18;107;21.5;59;11;236;0;0;24;0;0;201;1;1;236;1;1;100;0.4237288136;516;3.816.666.666.667;281.666.666.667;40.25;324;2.580.166.666.667;Non-web libraries and frameworks
liblinear-java;git://github.com/bwaldvogel/liblinear-java.git;149;29;4;66;869;10;40;4;2469;246.9;113;10;68;32;272;0;0;27;0;0;213;1;1;272;1;1;100;0.3676470588;62;1224;273.333.333.333;39;2469;7.642.666.666.667;Non-web libraries and frameworks
maven-gae-plugin;git://github.com/maven-gae-plugin/maven-gae-plugin.git;127;23;14;41;3232;5;168;6;1660;332;359;12;229.285.714.286;48;321;1;1;63;0;0;210;0;0;321;1;1;100;0.3115264798;51.25;21.556.666.666.667;163.095.238.095;174.642.857.143;1660;7.801.380.952.381;Software tools
Android-Iconics;git://github.com/mikepenz/Android-Iconics.git;440;25;7;71;6013;24;133;5;293;122.083.333.333;262;19;53;11;371;0;0;32;0;0;328;1;1;371;1;1;100;0.269541779;135.75;91.353.333.333.333;263.333.333.333;36;293;19.252.833.333.333;Non-web libraries and frameworks
snappy-java;git://github.com/xerial/snappy-java.git;216;36;19;71;26935;44;100;12;1595;36.25;646;52.631.578.947;207.368.421.053;59;394;0;0;29;1;1;306;0;0;394;1;1;100;0.2538071066;85.5;5.366.666.666.667;15;13;1595;4.490.333.333.333;Application
netflix-graph;git://github.com/Netflix/netflix-graph.git;298;236;2;49;1149;9;67;3;887;985.555.555.556;47;33.5;209.5;19;419;0;0;55;0;0;345;1;1;419;1;1;100;0.2386634845;146.25;5.856.666.666.667;816.666.666.667;121.5;887;3.644.166.666.667;Non-web libraries and frameworks
Paginize;git://github.com/neevek/Paginize.git;302;26;1;41;1252;8;86;3;506;63.25;120;86;428;9;428;1;1;42;0;0;377;0;0;428;1;1;100;0.2336448598;92.5;1100;1.716.666.666.667;257;506;4.254.333.333.333;Non-web libraries and frameworks
