project,Popularity,Size,Community,Activity,Maturity,Repl. Msg (%),category
dcm4che,70,12579.6666666667,188.7555555556,275.6333333333,1801,33.3333333333,Application
hibernate-validator,83.5,52154.3333333333,138.3484848485,196.5227272727,2906,33.3333333333,Non-web libraries and frameworks
Web-Karma,67.25,9972.3333333333,145.3188405797,206.4782608696,1356,33.3333333333,Application
cascading,124.75,32753.3333333333,395.2666666667,587.9,2765,33.3333333333,Non-web libraries and frameworks
fitnesse,291,6691.3333333333,86.1081081081,92.1621621622,3793,33.3333333333,Non-web libraries and frameworks
PassAndroid,44.5,35863,141.3333333333,210.5,963,33.3333333333,Application
ioke,42,41809.3333333333,166.1,244.15,1213,33.3333333333,System Software
SeriesGuide,314.5,17845,318.9444444444,475.4166666667,1420,33.3333333333,Application
cdk,87.5,30594,158.3888888889,231.5833333333,460,32.6086956522,Non-web libraries and frameworks
parquet-mr,93,4423.6666666667,63.7205882353,61.5808823529,1084,32.5842696629,Software tools
artemis-odb,55.5,2934.6666666667,82.9777777778,116.9666666667,1195,32.3529411765,Non-web libraries and frameworks
ribbon,214.75,2241,54.4202898551,70.1304347826,1158,32.2580645161,Web libraries and frameworks
asciidoctorj,59,205435,30.6349206349,35.4523809524,848,32,Non-web libraries and frameworks
pentaho-kettle,224.5,55943.3333333333,319.2465753425,442.3698630137,3574,30.8300395257,Software tools
Activiti,614.75,85876,122.545,83.8175,1878,30.7692307692,Software tools
jOOQ,297.5,56412,311.7142857143,453.5714285714,1488,29.9145299145,Software tools
eucalyptus,174.25,13291,269.6518518519,381.9777777778,2418,29.3103448276,System Software
jcommon,123.25,50814.6666666667,151.303030303,221.4545454545,1248,29.0322580645,Non-web libraries and frameworks
g4studio,106.75,82764,1631,2445.5,751,29.0322580645,Application
ambari,151.25,14781.6666666667,310.2601626016,444.8902439024,1452,28.5714285714,Software tools
blueprints,378.25,6737.6666666667,47.7803030303,49.6704545455,1968,28.5714285714,Non-web libraries and frameworks
XposedBridge,292.25,44370,98.2777777778,144.4166666667,1233,28.5714285714,Non-web libraries and frameworks
aws-toolkit-eclipse,64,179033,366.7777777778,545.6666666667,1662,28.5714285714,Application
opensearchserver,53.5,131852,799.0555555556,1195.5833333333,2623,28.5714285714,Application
CloudStack-archive,106.5,46673.6666666667,862.6777777778,1279.0166666667,775,27.5862068966,System Software
JGroups,162.75,33878.6666666667,152.4621212121,206.6931818182,4355,27.397260274,Non-web libraries and frameworks
unfolding,89.75,17850.3333333333,110.9696969697,160.9545454545,1890,27.2727272727,Non-web libraries and frameworks
choco3,42.5,14283,493.7619047619,737.1428571429,1488,27.2727272727,Non-web libraries and frameworks
bitcoinj,279,5420.6666666667,102.2716049383,126.4074074074,1630,25,Non-web libraries and frameworks
CommandBook,66,14260.6666666667,26.6666666667,32.5,1451,25,System Software
hector,278.75,7067.6666666667,48.1449275362,37.7173913043,1996,25,Non-web libraries and frameworks
spring-social,187,3740.6666666667,39.6166666667,49.425,1831,25,Non-web libraries and frameworks
arquillian-core,83.5,7807.3333333333,46.5317460317,48.7976190476,2128,25,Software tools
less4j,39,42004,251.0740740741,372.1111111111,1163,25,Software tools
gwt-bootstrap,181.25,82723.3333333333,41.5833333333,38.375,1085,25,Web libraries and frameworks
ScreenSlicer,37.75,899.3333333333,450.3333333333,675,274,25,Application
CircularReveal,245,1614,17.1666666667,21.75,242,25,Application
jackson-dataformat-xml,47.25,26848.6666666667,46.0555555556,63.0833333333,1683,25,Non-web libraries and frameworks
vlcj,98,26841.6666666667,654.3333333333,980.5,2268,25,Non-web libraries and frameworks
